"country" "lat" "lon" "alt" "Prec_1962to70_mean" "Prec_1962to70_sd" "Prec_2010to18_mean" "Prec_2010to18_sd"
"AUSTRIA" 47.7 13.6 490 1560.83874511719 251.90901184082 1641.61865234375 172.284637451172
"AUSTRIA" 47.8 13 446 1239.97619628906 199.864639282227 1266.8232421875 122.626327514648
"AUSTRIA" 47.81 13.73 1621 1538.28308105469 262.326568603516 1617.52075195312 169.61669921875
"AUSTRIA" 48.1 14.1 382 982.0341796875 158.946243286133 1016.23699951172 110.673248291016
"BELARUS" 52.12 23.68 146 611.060607910156 87.369987487793 613.215270996094 92.6947555541992
"BELARUS" 52.12 23.69 141 611.060607910156 87.369987487793 613.215270996094 92.6947555541992
"BELARUS" 52.12 26.13 146 592.013793945312 73.7752151489258 599.188049316406 87.5485153198242
"BELARUS" 52.25 29.83 141 662.46337890625 88.768669128418 644.625732421875 91.8048477172852
"BELARUS" 52.4 30.95 126 624.993225097656 82.6588821411133 607.030090332031 85.4639358520508
"BELARUS" 52.45 31 139 626.543273925781 82.8984146118164 610.921813964844 85.4039688110352
"BELARUS" 53.1 25.33 132 674.484497070312 81.0009536743164 692.927368164062 100.421661376953
"BELARUS" 53.1 26 194 650.130187988281 68.406135559082 663.837646484375 96.5101776123047
"BELARUS" 53.11 29.25 165 656.102233886719 76.3912811279297 664.464965820312 93.5384750366211
"BELARUS" 53.53 28.12 175 642.307067871094 67.5442886352539 644.526672363281 85.6380996704102
"BELARUS" 53.6 24.05 134 599.555480957031 79.5516967773438 637.884887695312 92.0402450561523
"BELARUS" 53.68 23.83 117 585.786682128906 78.0890045166016 629.050659179688 89.2573623657227
"BELARUS" 53.87 27.53 223 672.19580078125 69.2010269165039 689.287048339844 95.2868118286133
"BELARUS" 53.9 30.32 152 615.224548339844 76.9199142456055 646.062194824219 94.1553192138672
"BELARUS" 53.933 27.633 231 674.041870117188 69.5047149658203 689.593078613281 95.4005813598633
"BELARUS" 53.95 30.066 192 624.423461914062 75.3136138916016 655.340148925781 92.2548751831055
"BELARUS" 54.3 30.98 200 631.193969726562 79.1270370483398 666.841369628906 95.3866806030273
"BELARUS" 54.5 26.9 169 650.940856933594 66.3971481323242 678.474609375 99.1332931518555
"BELARUS" 54.9 28.7 174 685.846252441406 78.5364761352539 730.893798828125 107.384773254395
"BELARUS" 55.166 30.216 176 627.164001464844 81.3870315551758 692.957092285156 100.635391235352
"BELARUS" 55.17 30.13 166 631.508178710938 81.1884460449219 697.93115234375 102.005928039551
"BELARUS" 55.36 27.46 131 628.697631835938 75.3950271606445 672.070739746094 98.9213104248047
"BELARUS" 55.82 27.95 117 620.372741699219 76.0871200561523 670.907043457031 97.0888061523438
"BELGIUM" 49.98 4.35 318 899.351318359375 153.170745849609 893.160949707031 60.5514030456543
"BELGIUM" 50.63 3.78 32 767.016052246094 111.800582885742 783.732849121094 59.1664581298828
"BELGIUM" 50.8 4.35 104 822.922424316406 130.044219970703 816.924011230469 51.7835960388184
"BOSNIA AND HERZEGOVINA" 43.4 17.8 99 1151.62780761719 86.6621780395508 1136.91979980469 241.815490722656
"BOSNIA AND HERZEGOVINA" 43.8 17 730 1162.26013183594 97.6566925048828 1141.52661132812 250.985427856445
"BOSNIA AND HERZEGOVINA" 43.866 18.433 638 1166.00952148438 81.8386077880859 1145.00427246094 253.147583007812
"BOSNIA AND HERZEGOVINA" 43.9 18.4 637 1149.15576171875 80.2986679077148 1128.05285644531 249.592620849609
"BOSNIA AND HERZEGOVINA" 44.6 18.7 305 969.802917480469 78.6677551269531 956.327453613281 208.986434936523
"BOSNIA AND HERZEGOVINA" 44.82 15.88 250 1419.3154296875 148.92790222168 1391.71203613281 267.850982666016
"BULGARIA" 41.516 23.266 207 502.655212402344 48.9609184265137 534.140991210938 96.0161972045898
"BULGARIA" 42.13 24.75 185 523.806884765625 63.34814453125 587.477111816406 101.112426757812
"BULGARIA" 42.2 24.8 160 514.270202636719 62.9255867004395 577.033142089844 100.208702087402
"BULGARIA" 42.2 25 150 545.696472167969 70.1991577148438 612.473876953125 106.168258666992
"BULGARIA" 42.65 23.38 595 628.611572265625 62.5415992736816 682.405334472656 117.789039611816
"BULGARIA" 42.65 23.383 595 628.611572265625 62.5415992736816 682.405334472656 117.789039611816
"BULGARIA" 42.7 23.3 564 632.2412109375 62.8085021972656 681.50830078125 116.990913391113
"BULGARIA" 43.2 23.5 360 667.173889160156 79.1311492919922 715.64306640625 116.343795776367
"BULGARIA" 43.2 27.916 43 539.268615722656 84.2203750610352 576.813659667969 92.0482559204102
"BULGARIA" 43.3 26.9 198 612.511657714844 92.1647033691406 665.652893066406 107.24715423584
"BULGARIA" 43.4 24.6 75 584.270629882812 84.3359832763672 652.470458984375 105.204116821289
"BULGARIA" 43.816 23.25 33 601.700805664062 80.5085144042969 623.314453125 97.6606292724609
"CROATIA" 42.57 18.27 165 1376.96142578125 120.255172729492 1342.876953125 283.147338867188
